STATE,DISTRICT,RISK_SCORE,PENETRATION_PCT,POPULATION,PENETRATION_CATEGORY
MAHARASHTRA,MUMBAI SUBURBAN,0.87,0.194679,9356962,CRITICAL
MAHARASHTRA,THANE,0.84,0.395004,11060148,CRITICAL
TELANGANA,RANGAREDDY,0.84,0.005664,5296741,CRITICAL
MAHARASHTRA,PUNE,0.82,0.336938,9426959,CRITICAL
TAMIL NADU,KANCHIPURAM,0.81,0.009679,3998252,CRITICAL
WEST BENGAL,NORTH 24 PARGANAS,0.81,0.283709,10082852,CRITICAL
WEST BENGAL,PURBA BARDHAMAN,0.81,0.062889,4835532,CRITICAL
MAHARASHTRA,AHMEDNAGAR,0.81,0.0081,4543159,CRITICAL
GUJARAT,AHMEDABAD,0.8,0.265171,7214225,CRITICAL
UTTAR PRADESH,RAEBARELI,0.79,0.000088,3405559,CRITICAL
WEST BENGAL,KOLKATA,0.78,0.230436,4496694,CRITICAL
BIHAR,PATNA,0.77,0.422097,5838465,CRITICAL
GUJARAT,VADODARA,0.77,0.295461,4157568,CRITICAL
CHHATTISGARH,RAIPUR,0.77,0.173258,4063872,CRITICAL
MAHARASHTRA,NAGPUR,0.77,0.25417,4653570,CRITICAL
CHHATTISGARH,DURG,0.77,0.122492,3343079,CRITICAL
UTTAR PRADESH,BARABANKI,0.77,0.072837,3260699,CRITICAL
ANDHRA PRADESH,KRISHNA,0.77,0.148752,4529009,CRITICAL
KARNATAKA,BELGAUM,0.77,0.141113,4778439,CRITICAL
ANDHRA PRADESH,ANANTAPUR,0.77,0.108123,4083315,CRITICAL
ANDHRA PRADESH,EAST GODAVARI,0.77,0.149043,5151549,CRITICAL
TELANGANA,WARANGAL,0.77,0.083801,3522644,CRITICAL
WEST BENGAL,PASCHIM BARDHAMAN,0.77,0.044274,2882031,CRITICAL
WEST BENGAL,PURULIA,0.77,0.026723,2930115,CRITICAL
MAHARASHTRA,SATARA,0.76,0.20045,3003741,CRITICAL
WEST BENGAL,NADIA,0.76,0.342828,5167600,CRITICAL
WEST BENGAL,JALPAIGURI,0.76,0.275095,3872846,CRITICAL
MAHARASHTRA,SOLAPUR,0.76,0.284685,4317756,CRITICAL
TAMIL NADU,CHENNAI,0.76,0.21613,4646732,CRITICAL
ANDHRA PRADESH,WEST GODAVARI,0.76,0.150834,3934782,CRITICAL
KARNATAKA,MYSORE,0.76,0.102613,2994744,CRITICAL
RAJASTHAN,JHUNJHUNU,0.76,0.014553,2137045,CRITICAL
MAHARASHTRA,JALGAON,0.75,0.313481,4229917,CRITICAL
